vendor,hardware_vendor,model_name,test_sponsor,nominal_mhz,max_mhz,arch,cpus,threads_per_core,cores_per_socket,sockets,numas,l1d_cache_kb,l1i_cache_kb,l2_cache_kb,l3_cache_kb,mem_kb,mem_channels,channel_kb,mem_data_rate,storage_gb,os_name,os_vid,os,compiler,parallel,file_system,threads_or_copies,file,500.perlbench_r,t_500.perlbench_r,502.gcc_r,t_502.gcc_r,505.mcf_r,t_505.mcf_r,520.omnetpp_r,t_520.omnetpp_r,523.xalancbmk_r,t_523.xalancbmk_r,525.x264_r,t_525.x264_r,531.deepsjeng_r,t_531.deepsjeng_r,541.leela_r,t_541.leela_r,548.exchange2_r,t_548.exchange2_r,557.xz_r,t_557.xz_r
Intel,ASUSTeK Computer Inc.,Xeon Gold 6244,ASUSTeK Computer Inc.,3600,4400,x86_64,32,2,8,2,4,32,32,1024.0,25344.0,791103716,24,33554432.0,2933,1024.0,SLES,15,SUSE Linux Enterprise Server 15,C/C++: Version 19.0.1.144 of Intel C/C++,No,xfs,32,cpu2017-20190528-14871.csv,110.11616,462.63827,122.37376,370.27556,197.91264,261.28695,91.3984,459.35136,185.68832,181.98232,283.80352,197.43237,117.5456,311.9809,109.37216,484.51065,251.90624,332.82244,92.20672,374.81064
Intel,Inspur Corporation,Xeon Silver 4214R,Inspur Corporation,2400,3500,x86_64,48,2,12,2,2,32,32,1024.0,16896.0,394570048,12,33554432.0,2933,10240.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4,C/C++: Version 19.0.4.227 of Intel C/C++,No,xfs,48,cpu2017-20200522-22465.csv,110.82864,689.496838,116.461248,583.610484,193.414944,401.044493,93.157056,676.019749,165.472848,306.322122,287.663712,292.174475,120.726672,455.640842,110.849328,717.081416,293.467056,428.531898,94.133664,550.706345
Intel,Lenovo Global Technology,Xeon Platinum 8276L,Lenovo Global Technology,2200,4000,x86_64,112,2,28,2,4,32,32,1024.0,39424.0,792228640,24,33554432.0,2933,960.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.4.227 of Intel,No,xfs,112,cpu2017-20190917-18298.csv,242.418848,735.520486,245.21112,646.757019,393.251152,460.245257,194.393808,755.909008,321.524224,367.847892,647.500448,302.875491,261.956576,489.974308,255.04024,727.226464,655.35064,447.760303,212.49928,569.225378
Intel,Hewlett Packard Enterprise,Xeon Platinum 8276L,HPE,2200,4000,x86_64,112,2,28,2,4,32,32,1024.0,39424.0,395609636,24,16777216.0,2933,400.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,No,btrfs,112,cpu2017-20190514-14114.csv,233.108848,764.895997,237.601504,667.470367,378.522368,478.153974,191.177168,768.627291,308.640304,383.203394,628.20688,312.177393,255.015712,503.310146,245.628432,755.091694,543.818576,539.591747,205.1952,589.487414
Intel,NEC Corporation,Celeron G4930,NEC Corporation,3200,3200,x86_64,2,1,2,1,1,32,32,256,2048.0,65880436,4,16777216.0,2666,2048.0,RHEL,7.7,Red Hat Enterprise Linux Server release 7.7,C/C++: Version 19.0.0.117 of Intel C/C++,No,ext4,2,cpu2017-20191028-19340.csv,8.457434,376.473498,9.118926,310.562876,10.297666,313.857522,5.626382,466.374319,9.90617,213.200466,15.983356,219.102912,8.340754,274.795333,7.233968,457.839966,13.773758,380.43356,4.953822,436.026961
Intel,Lenovo Global Technology,Xeon Gold 5218N,Lenovo Global Technology,2300,3700,x86_64,64,2,16,2,4,32,32,1024.0,22528.0,792239288,24,33554432.0,2666,960.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,No,xfs,64,cpu2017-20190527-14669.csv,136.488576,746.494593,148.87648,608.719381,238.449856,433.734848,121.054848,693.636178,203.966208,331.348975,340.642304,328.978537,145.801728,503.039296,143.312,739.533442,313.958272,534.08373,120.122368,575.413186
Intel,Lenovo Global Technology,Xeon Gold 6226,Lenovo Global Technology,2700,3700,x86_64,48,2,12,2,4,32,32,1024.0,19712.0,197396356,12,16777216.0,2933,960.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.4.227 of Intel,No,xfs,48,cpu2017-20190926-18665.csv,117.050112,652.848545,128.582784,528.593242,210.452112,368.577918,99.841824,630.757666,182.457168,277.807675,319.430928,263.117935,128.196624,429.090805,122.091744,651.051424,313.574064,401.053553,100.9104,513.723056
Intel,Hewlett Packard Enterprise,Xeon Gold 5218,HPE,2300,3900,x86_64,64,2,16,2,4,32,32,1024.0,22528.0,197714752,12,16777216.0,2666,400.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,No,xfs,64,cpu2017-20190415-11849.csv,140.875008,723.250955,154.265792,587.453698,249.565824,414.415762,123.433856,680.267003,211.7728,319.134504,337.874944,331.672992,152.549888,480.78692,140.969216,751.823837,319.58656,524.677883,122.445888,564.494242
Intel,Hewlett Packard Enterprise,Xeon Gold 6130,HPE,2100,3700,x86_64,64,2,16,2,4,32,32,1024.0,22528.0,197550456,24,8388608.0,2666,480.0,SLES,12.2,SUSE Linux Enterprise Server 12 (x86_64) SP2,C/C++: Version 18.0.0.128 of Intel C/C++,No,xfs,64,cpu2017-20171128-01202.csv,121.23904,840.389259,138.164544,655.91353,191.440192,540.241764,98.53888,852.130429,157.714432,428.521333,311.852416,359.349461,133.041024,551.288536,134.50112,787.978388,311.496384,538.304834,109.2512,632.670478
Intel,Lenovo Global Technology,Xeon Platinum 8274,Lenovo Global Technology,3200,4000,x86_64,96,2,24,2,4,32,32,1024.0,36608.0,395870532,12,33554432.0,2933,480.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,No,xfs,96,cpu2017-20190610-14927.csv,250.065888,611.166919,241.747776,562.30512,402.7488,385.192944,184.106208,684.126908,336.13392,301.59405,687.805536,244.394674,271.780032,404.797944,259.937376,611.593576,589.343904,426.779641,207.822048,498.888461
Intel,Huawei,Xeon Gold 6230,Huawei,2100,3900,x86_64,80,2,20,2,4,32,32,1024.0,28160.0,196227868,12,16777216.0,2933,3840.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,No,btrfs,80,cpu2017-20190427-12448.csv,160.92656,791.417067,174.5976,648.806224,275.56096,469.152043,141.57512,741.373085,235.61872,358.545345,426.05376,328.784774,174.34032,525.868037,169.30456,782.495257,373.77264,560.768699,140.98616,612.826026
Intel,Lenovo Global Technology,Xeon Gold 6240M,Lenovo Global Technology,2600,3900,x86_64,72,2,18,2,4,32,32,1024.0,25344.0,197694288,12,16777216.0,2933,800.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.4.227 of Intel,No,xfs,72,cpu2017-20191014-19129.csv,166.111272,690.043544,173.858328,586.408534,288.503856,403.294475,139.411368,677.591699,241.38036,314.988375,449.683272,280.357321,183.512232,449.626745,175.876056,677.93194,448.401888,420.694061,144.48024,538.205204
Intel,Cisco Systems,Xeon Gold 5220R,Cisco Systems,2200,4000,x86_64,96,2,24,2,4,32,32,1024.0,36608.0,791209068,24,33554432.0,2933,960.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.4.227 of Intel C/C++,No,btrfs,96,cpu2017-20200303-21202.csv,205.67232,743.084799,219.417888,619.530259,341.832096,453.836877,173.11584,727.559073,286.510944,353.829473,559.47648,300.452324,222.978912,493.392004,209.414208,759.146128,544.381824,462.028651,179.126016,578.810287
Intel,Dell Inc.,Xeon Gold 6144,Dell Inc.,3500,4200,x86_64,32,2,8,2,4,32,32,1024.0,25344.0,196712868,12,16777216.0,2666,960.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3,C/C++: Version 18.0.0.128 of Intel C/C++,No,xfs,32,cpu2017-20181001-09010.csv,86.29808,590.325996,94.753472,478.20933,137.53968,375.978787,64.879872,647.103682,122.979008,274.778599,225.240352,248.765358,101.549024,361.12609,96.760512,547.661512,221.885344,377.852814,73.841984,468.026451
AMD,Dell Inc.,EPYC 7551,Dell Inc.,2000,3000,x86_64,128,2,32,2,8,32,64,512,65536.0,1056530496,16,67108864.0,2667,120.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3,C/C++: Version 1.0.0 of AOCC,No,xfs,128,cpu2017-20181029-09376.csv,221.26848,920.94518,193.82144,935.12843,328.14848,630.34941,160.256,1047.92316,241.952,558.65719,565.40032,396.40581,287.74144,509.79175,244.1344,868.24465,532.01152,630.36212,167.4112,825.75263
Intel,NEC Corporation,Xeon Platinum 8156,NEC Corporation,3600,3700,x86_64,16,2,4,2,4,32,32,1024.0,16896.0,395931112,24,16777216.0,2666,1024.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.2.199 of Intel C/C++,No,ext4,16,cpu2017-20181001-08959.csv,41.59584,612.368941,48.156112,470.469934,68.38072,378.118318,33.36104,629.236833,62.126992,271.959079,113.560864,246.704698,48.03128,381.751189,44.54568,594.805123,104.243152,402.136701,39.345136,439.190234
